Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4d4.(5D).5s"	"a 6D"	"1/2"	""	"0.00"	""	
"4d4.(5D).5s"	"a 6D"	"3/2"	""	"154.19"	""	
"4d4.(5D).5s"	"a 6D"	"5/2"	""	"391.99"	""	
"4d4.(5D).5s"	"a 6D"	"7/2"	""	"695.25"	""	
"4d4.(5D).5s"	"a 6D"	"9/2"	""	"1050.26"	""	
"4d3.5s2"	"a 4F"	"3/2"	""	"1142.79"	""	
"4d3.5s2"	"a 4F"	"5/2"	""	"1586.90"	""	
"4d3.5s2"	"a 4F"	"7/2"	""	"2154.11"	""	
"4d3.5s2"	"a 4F"	"9/2"	""	"2805.36"	""	
"4d3.5s2"	"a 4P"	"1/2"	""	"4998.17"	""	
"4d3.5s2"	"a 4P"	"3/2"	""	"5297.92"	""	
"4d3.5s2"	"a 4P"	"5/2"	""	"5965.45"	""	
"4d4.(5D).5s"	"a 4D"	"1/2"	""	"8410.90"	""	
"4d4.(5D).5s"	"a 4D"	"3/2"	""	"8705.32"	""	
"4d4.(5D).5s"	"a 4D"	"5/2"	""	"9043.14"	""	
"4d4.(5D).5s"	"a 4D"	"7/2"	""	"9497.52"	""	
"4d3.5s2"	"a 2G"	"7/2"	""	"8827.00"	""	
"4d3.5s2"	"a 2G"	"9/2"	""	"9328.88"	""	
"4d3.5s2"	"a 2D"	"3/2"	""	"9439.08"	""	
"4d3.5s2"	"a 2D"	"5/2"	""	"10237.51"	""	
"4d3.5s2"	"a 2P"	"1/2"	""	"10126.06"	""	
"4d3.5s2"	"a 2P"	"3/2"	""	"11318.09"	""	
"4d4.(3H).5s"	"a 4H"	"7/2"	""	"10922.74"	""	
"4d4.(3H).5s"	"a 4H"	"9/2"	""	"11044.08"	""	
"4d4.(3H).5s"	"a 4H"	"11/2"	""	"11247.88"	""	
"4d4.(3H).5s"	"a 4H"	"13/2"	""	"11524.65"	""	
"4d5"	"a 6S"	"5/2"	""	"11344.70"	""	
"4d4.(3G).5s"	"a 4G"	"5/2"	""	"12018.25"	""	
"4d4.(3G).5s"	"a 4G"	"7/2"	""	"12136.86"	""	
"4d4.(3G).5s"	"a 4G"	"9/2"	""	"12357.70"	""	
"4d4.(3G).5s"	"a 4G"	"11/2"	""	"13012.20"	""	
"4d3.5s2"	"a 2H"	"9/2"	""	"12102.12"	""	
"4d3.5s2"	"a 2H"	"11/2"	""	"12502.97"	""	
"4d4.(b 3F).5s"	"b 4F"	"3/2"	""	"12288.25"	""	
"4d4.(b 3F).5s"	"b 4F"	"5/2"	""	"12692.12"	""	
"4d4.(b 3F).5s"	"b 4F"	"7/2"	""	"12982.38"	""	
"4d4.(b 3F).5s"	"b 4F"	"9/2"	""	"13145.71"	""	
"4d3.5s2"	"a 2F"	"5/2"	""	"13404.77"	""	
"4d3.5s2"	"a 2F"	"7/2"	""	"13515.20"	""	
"4d4.(a 3P).5s"	"b 4P"	"1/2"	""	"13629.15"	""	
"4d4.(a 3P).5s"	"b 4P"	"3/2"	""	"14211.30"	""	
"4d4.(a 3P).5s"	"b 4P"	"5/2"	""	"14899.26"	""	
